,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate
Month,04,05,06,07,08,09,10,11,12,01,02,03
Year,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021
State_Tribe_Territory,,,,,,,,,,,,
AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,51.61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AR,0.0,0.0,0.0,38.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.43,100.0
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0.0,0.0,43.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CO,0.0,0.0,0.0,51.61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CT,52.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DC,0.0,51.61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DE,14.29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GU,0.0,80.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HI,66.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
